[2025-09-03 13:21:13] Starting parallel SMTP processing with MAX_WORKERS=200
[2025-09-03 13:21:14] Started worker 112 for 477 emails
[2025-09-03 13:21:14] Started worker 113 for 477 emails
[2025-09-03 13:21:14] Started worker 114 for 477 emails
[2025-09-03 13:21:14] Started worker 115 for 477 emails
[2025-09-03 13:21:14] Started worker 116 for 477 emails
[2025-09-03 13:21:14] Started worker 117 for 477 emails
[2025-09-03 13:21:14] Started worker 118 for 477 emails
[2025-09-03 13:21:14] Started worker 119 for 477 emails
[2025-09-03 13:21:14] Started worker 120 for 477 emails
[2025-09-03 13:21:14] Started worker 121 for 477 emails
[2025-09-03 13:21:14] Started worker 122 for 477 emails
[2025-09-03 13:21:14] Started worker 123 for 477 emails
[2025-09-03 13:21:14] Started worker 124 for 477 emails
[2025-09-03 13:21:14] Started worker 125 for 477 emails
[2025-09-03 13:21:14] Started worker 126 for 477 emails
[2025-09-03 13:21:14] Started worker 127 for 477 emails
[2025-09-03 13:21:14] Started worker 128 for 477 emails
[2025-09-03 13:21:14] Started worker 129 for 477 emails
[2025-09-03 13:21:14] Started worker 130 for 477 emails
[2025-09-03 13:21:14] Started worker 131 for 477 emails
[2025-09-03 13:21:14] Started worker 132 for 477 emails
[2025-09-03 13:21:14] Started worker 133 for 477 emails
[2025-09-03 13:21:14] Started worker 134 for 477 emails
[2025-09-03 13:21:14] Started worker 135 for 477 emails
[2025-09-03 13:21:14] Started worker 136 for 477 emails
[2025-09-03 13:21:14] Started worker 137 for 477 emails
[2025-09-03 13:21:14] Started worker 138 for 477 emails
[2025-09-03 13:21:14] Started worker 139 for 477 emails
[2025-09-03 13:21:14] Started worker 140 for 477 emails
[2025-09-03 13:21:15] Started worker 141 for 477 emails
[2025-09-03 13:21:15] Started worker 142 for 477 emails
[2025-09-03 13:21:15] Started worker 143 for 477 emails
[2025-09-03 13:21:15] Started worker 144 for 477 emails
[2025-09-03 13:21:15] Started worker 145 for 477 emails
[2025-09-03 13:21:15] Started worker 146 for 477 emails
[2025-09-03 13:21:15] Started worker 147 for 477 emails
[2025-09-03 13:21:15] Started worker 148 for 477 emails
[2025-09-03 13:21:15] Started worker 149 for 477 emails
[2025-09-03 13:21:15] Started worker 150 for 477 emails
[2025-09-03 13:21:15] Started worker 151 for 477 emails
[2025-09-03 13:21:15] Started worker 152 for 477 emails
[2025-09-03 13:21:15] Started worker 153 for 477 emails
[2025-09-03 13:21:15] Started worker 154 for 477 emails
[2025-09-03 13:21:15] Started worker 155 for 477 emails
[2025-09-03 13:21:15] Started worker 156 for 477 emails
[2025-09-03 13:21:15] Started worker 157 for 477 emails
[2025-09-03 13:21:15] Started worker 158 for 477 emails
[2025-09-03 13:21:15] Started worker 159 for 477 emails
[2025-09-03 13:21:15] Started worker 160 for 477 emails
[2025-09-03 13:21:15] Started worker 161 for 477 emails
[2025-09-03 13:21:15] Started worker 162 for 477 emails
[2025-09-03 13:21:15] Started worker 163 for 477 emails
[2025-09-03 13:21:15] Started worker 164 for 477 emails
[2025-09-03 13:21:15] Started worker 165 for 477 emails
[2025-09-03 13:21:15] Started worker 166 for 477 emails
[2025-09-03 13:21:15] Started worker 167 for 477 emails
[2025-09-03 13:21:15] Started worker 168 for 477 emails
[2025-09-03 13:21:15] Started worker 169 for 477 emails
[2025-09-03 13:21:15] Started worker 170 for 477 emails
[2025-09-03 13:21:15] Started worker 171 for 477 emails
[2025-09-03 13:21:15] Started worker 172 for 477 emails
[2025-09-03 13:21:15] Started worker 173 for 477 emails
[2025-09-03 13:21:15] Started worker 174 for 477 emails
[2025-09-03 13:21:15] Started worker 175 for 477 emails
[2025-09-03 13:21:15] Started worker 176 for 477 emails
[2025-09-03 13:21:15] Started worker 177 for 477 emails
[2025-09-03 13:21:15] Started worker 178 for 477 emails
[2025-09-03 13:21:15] Started worker 179 for 477 emails
[2025-09-03 13:21:15] Started worker 180 for 477 emails
[2025-09-03 13:21:15] Started worker 181 for 477 emails
[2025-09-03 13:21:15] Started worker 182 for 477 emails
[2025-09-03 13:21:15] Started worker 183 for 477 emails
[2025-09-03 13:21:15] Started worker 184 for 477 emails
[2025-09-03 13:21:15] Started worker 185 for 477 emails
[2025-09-03 13:21:15] Started worker 186 for 477 emails
[2025-09-03 13:21:15] Started worker 187 for 477 emails
[2025-09-03 13:21:15] Started worker 188 for 477 emails
[2025-09-03 13:21:15] Started worker 189 for 477 emails
[2025-09-03 13:21:15] Started worker 190 for 477 emails
[2025-09-03 13:21:15] Started worker 191 for 477 emails
[2025-09-03 13:21:15] Started worker 192 for 477 emails
[2025-09-03 13:21:15] Started worker 193 for 477 emails
[2025-09-03 13:21:15] Started worker 194 for 477 emails
[2025-09-03 13:21:15] Started worker 195 for 477 emails
[2025-09-03 13:21:15] Started worker 196 for 477 emails
[2025-09-03 13:21:15] Started worker 197 for 477 emails
[2025-09-03 13:21:15] Started worker 198 for 477 emails
[2025-09-03 13:21:15] Started worker 199 for 429 emails
[2025-09-03 13:21:16] Processing complete. Remaining unprocessed emails: 99052
[2025-09-03 13:30:03] Starting parallel SMTP processing with MAX_WORKERS=200
[2025-09-03 13:30:03] Started worker 0 for 477 emails
[2025-09-03 13:30:03] Started worker 1 for 477 emails
[2025-09-03 13:30:03] Started worker 2 for 477 emails
[2025-09-03 13:30:03] Started worker 3 for 477 emails
